Collector,IP Address,Device Ip Numeric,Network View,Device Name,Type,Vendor,Model,Device Assurance,Site (Devices),Supervisor (Devices),IsInactive (Devices),IsForTesting (Devices)
phx-netmri-1,10.90.0.255,173670655,Salesforce_IT,sea6-ts,Router,Cisco,ISR4331,99,,,,
phx-netmri-1,10.90.0.101,173670501,Salesforce_IT,sea6-axs-1a,Switch-Router,Cisco,cat4510rpluse,99,,,,
phx-netmri-1,10.90.0.102,173670502,Salesforce_IT,sea6-axs-1b,Switch-Router,Cisco,cat4510rpluse,99,,,,
phx-netmri-1,10.90.0.103,173670503,Salesforce_IT,sea6-axs-1c,Switch-Router,Cisco,cat4510rpluse,99,,,,
phx-netmri-1,10.90.0.104,173670504,Salesforce_IT,sea6-axs-1d,Switch-Router,Cisco,cat4510rpluse,99,,,,
phx-netmri-1,10.90.0.105,173670505,Salesforce_IT,sea6-axs-2a,Switch-Router,Cisco,cat4510rpluse,99,,,,
phx-netmri-1,10.90.0.106,173670506,Salesforce_IT,sea6-axs-2b,Switch-Router,Cisco,cat4510rpluse,99,,,,
phx-netmri-1,10.90.0.107,173670507,Salesforce_IT,sea6-axs-2c,Switch-Router,Cisco,cat4510rpluse,99,,,,
phx-netmri-1,10.90.0.108,173670508,Salesforce_IT,sea6-axs-2d,Switch-Router,Cisco,cat4510rpluse,99,,,,
phx-netmri-1,10.90.0.109,173670509,Salesforce_IT,sea6-axs-3a,Switch-Router,Cisco,cat4510rpluse,99,,,,
phx-netmri-1,10.90.0.110,173670510,Salesforce_IT,sea6-axs-3b,Switch-Router,Cisco,cat4510rpluse,99,,,,
phx-netmri-1,10.90.0.111,173670511,Salesforce_IT,sea6-axs-3c,Switch-Router,Cisco,cat4510rpluse,99,,,,
phx-netmri-1,10.90.0.112,173670512,Salesforce_IT,sea6-axs-3d,Switch-Router,Cisco,cat4510rpluse,99,,,,
phx-netmri-1,10.90.0.113,173670513,Salesforce_IT,sea6-axs-4a,Switch-Router,Cisco,cat4510rpluse,99,,,,
phx-netmri-1,10.90.0.114,173670514,Salesforce_IT,sea6-axs-4b,Switch-Router,Cisco,cat4510rpluse,99,,,,
phx-netmri-1,10.90.0.115,173670515,Salesforce_IT,sea6-axs-4c,Switch-Router,Cisco,cat4510rpluse,99,,,,
phx-netmri-1,10.90.0.116,173670516,Salesforce_IT,sea6-axs-4d,Switch-Router,Cisco,cat4510rpluse,99,,,,
phx-netmri-1,10.90.5.5,173671685,Salesforce_IT,sea6-srv-a,Switch,Cisco,C9300-48T,99,,,,
phx-netmri-1,10.21.170.1,169191937,Salesforce_IT,sea3-dst-a,Switch-Router,Cisco,C9500-40X,99,,,,
phx-netmri-1,10.21.170.3,169191939,Salesforce_IT,sea3-axs-b,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.21.170.4,169191940,Salesforce_IT,sea3-axs-c,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.129.0.203,176226507,Salesforce_IT,fra3-axs-c,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.129.0.204,176226508,Salesforce_IT,fra3-axs-d,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.129.0.208,176226512,Salesforce_IT,fra3-axs-h,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.129.0.209,176226513,Salesforce_IT,fra3-axs-i,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.21.16.3,169152515,Salesforce_IT,iad3-axs1,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.21.112.7,169177095,Salesforce_IT,CDG3-AXS-F,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.21.112.8,169177096,Salesforce_IT,CDG3-AXS-G,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.21.112.9,169177097,Salesforce_IT,CDG3-AXS-H,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.21.112.10,169177098,Salesforce_IT,CDG3-AXS-I,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.21.64.9,169164809,Salesforce_IT,iad4-axs-h,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.21.64.10,169164810,Salesforce_IT,iad4-axs-i,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.21.64.11,169164811,Salesforce_IT,iad4-axs-j,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.136.64.12,176701452,Salesforce_IT,MUC2-AXS-LAB,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.141.5.11,177014027,Salesforce_IT,CHI8-WLC-A,Router,Cisco,C980040K9,99,,,,
phx-netmri-1,10.21.24.1,169154561,Salesforce_IT,itm3-dst-a,Switch-Router,Cisco,C9500-40X,99,,,,
phx-netmri-1,10.21.24.2,169154562,Salesforce_IT,itm3-axs-a,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.21.24.3,169154563,Salesforce_IT,itm3-axs-b,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.21.24.4,169154564,Salesforce_IT,itm3-axs-c,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.76.96.11,172777483,Salesforce_IT,iad7-dst-a,Switch-Router,Cisco,C9500-16X,99,,,,
phx-netmri-1,10.76.96.104,172777576,Salesforce_IT,iad7-axs-4,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.76.96.15,172777487,Salesforce_IT,iad7-ts,Router,Cisco,ISR4321,99,,,,
phx-netmri-1,10.86.0.252,173408508,Salesforce_IT,tssea6-mdf1-crt-1,Switch-Router,Cisco,Cat9500VirtualStack,99,,,,
phx-netmri-1,10.88.128.101,173572197,Salesforce_IT,AUS1-AXS-2,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.88.128.105,173572201,Salesforce_IT,AUS1-AXS-18,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.88.128.106,173572202,Salesforce_IT,AUS1-AXS-3,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.88.128.252,173572348,Salesforce_IT,AUS1-DST-A,Switch-Router,Cisco,C9500-40X,99,,,,
phx-netmri-1,10.88.131.11,173572875,Salesforce_IT,AUS1-WLC-A,Router,Cisco,C9800LFK9,99,,,,
phx-netmri-1,10.88.224.101,173596773,Salesforce_IT,tsbos4-mdf1-art-1,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.88.224.31,173596703,Salesforce_IT,tsbos4-mdf1-drt-1,Switch-Router,Cisco,C9300-48T,99,,,,
phx-netmri-1,10.88.224.32,173596704,Salesforce_IT,tsbos4-mdf1-drt-2,Switch-Router,Cisco,C9300-48T,99,,,,
phx-netmri-1,10.21.28.3,169155587,Salesforce_IT,hnd3-axs-b,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.21.28.2,169155586,Salesforce_IT,hnd3-axs-a,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.21.28.1,169155585,Salesforce_IT,hnd3-dst-a,Switch-Router,Cisco,C9500-40X,99,,,,
phx-netmri-1,10.21.28.4,169155588,Salesforce_IT,hnd3-axs-c,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.141.0.254,177012990,Salesforce_IT,CHI8-DST-A,Switch-Router,Cisco,C9500-24Q,99,,,,
phx-netmri-1,10.141.0.253,177012989,Salesforce_IT,CHI8-SRV-A,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.141.0.255,177012991,Salesforce_IT,CHI8-TS,Router,Cisco,ISR4331,99,,,,
phx-netmri-1,10.141.0.108,177012844,Salesforce_IT,CHI8-AXS-8,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.141.0.107,177012843,Salesforce_IT,CHI8-AXS-7,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.141.0.101,177012837,Salesforce_IT,chi8-axs-b1,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.141.0.110,177012846,Salesforce_IT,CHI8-AXS-10,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.141.0.111,177012847,Salesforce_IT,CHI8-AXS-11,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.141.0.112,177012848,Salesforce_IT,CHI8-AXS-12,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.141.0.113,177012849,Salesforce_IT,CHI8-AXS-13,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.141.0.114,177012850,Salesforce_IT,CHI8-AXS-14,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.141.0.115,177012851,Salesforce_IT,CHI8-AXS-15,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.141.0.116,177012852,Salesforce_IT,CHI8-AXS-16,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.141.0.117,177012853,Salesforce_IT,CHI8-AXS-17,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.90.0.118,173670518,Salesforce_IT,sea6-axs-1e,Switch-Router,Cisco,C9300-48T,99,,,,
phx-netmri-1,10.84.0.30,173277214,Salesforce_IT,atl1-axs-30,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.76.99.11,172778251,Salesforce_IT,iad7-wlc-a,Router,Cisco,C9800LFK9,99,,,,
phx-netmri-1,10.18.64.12,168968204,Salesforce_IT,iad6-ts,Router,Cisco,ISR4321,99,,,,
phx-netmri-1,10.192.11.39,180357927,Salesforce_IT,bom1-vgr-a,Router,Cisco,ISR4431,99,,,,
phx-netmri-1,10.192.11.40,180357928,Salesforce_IT,bom1-vgr-b,Router,Cisco,ISR4431,99,,,,
phx-netmri-1,10.6.0.57,168165433,Salesforce_IT,sfo8-axs-15b,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.144.0.13,177209357,Salesforce_IT,DUB3a-AXS-LAB,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.9.5.8,168363272,Salesforce_IT,lab-ts2,Router,Cisco,2811,99,,,,
phx-netmri-1,10.21.26.1,169155073,Salesforce_IT,ca2-dst-a,Switch-Router,Cisco,C9500-40X,99,,,,
phx-netmri-1,10.21.26.2,169155074,Salesforce_IT,ca2-axs-b,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.21.144.4,169185284,Salesforce_IT,las-axs-c,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.151.0.254,177668350,Salesforce_IT,syd4-dst-a,Switch-Router,Cisco,C9500-24Q,99,,,,
phx-netmri-1,10.151.0.253,177668349,Salesforce_IT,syd4-srv-a,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.151.0.255,177668351,Salesforce_IT,syd4-ts,Router,Cisco,ISR4331,99,,,,
phx-netmri-1,10.151.5.11,177669387,Salesforce_IT,syd4-wlc-a,Router,Cisco,C980040K9,99,,,,
phx-netmri-1,10.151.0.138,177668234,Salesforce_IT,syd4-axs-38,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.151.0.139,177668235,Salesforce_IT,syd4-axs-39,Switch-Router,Cisco,Cat9410R,99,,,,
